,Incident.month,Incident.year,Victim.injury,State,Latitude,Longitude,Site.category,Shark.length.m,Provoked/unprovoked,No.sharks,Victim.activity,Present.at.time.of.bite,Shark.behaviour,Injury.location,Injury.severity,Victim.gender,Victim.age,Diversionary.action.taken,Time.of.incident,Data.source,Shark.name
107,11,1894,injured,NSW,-32.916666666666664,151.78333333333333,coastal,2.0,unprovoked,1,swimming,['swimming'],bit victim on arm,['arm'],major lacerations,M,Unknown,hit shark on nose,740.0,media outlet,white shark (Carcharodon carcharias)
108,1,1895,uninjured,QLD,-27.466666666666665,153.0,river,Unknown,unprovoked,1,boating,[],bit scull in 2 pieces,['uninjured'],Unknown,M,25.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
109,2,1895,fatal,NSW,-33.93333333333333,151.25,deep_coast,3.5,unprovoked,1,swimming,[],bit victim on leg ,['leg'],major lacerations,M,16.0,Unknown,1600.0,media outlet,bull shark (Carcharhinus leucas)
110,3,1895,injured,QLD,-24.9,152.23333333333332,deep_coast,Unknown,unprovoked,1,swimming,[],bit foot,['foot'],major lacerations,M,13.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
111,6,1895,fatal,WA,-20.783333333333335,115.53333333333333,island,Unknown,provoked,4,diving,[],bit victim multiple times,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
112,11,1895,fatal,NSW,-35.13333333333333,150.75,coastal,Unknown,provoked,3,swimming,['fishing'],bit victim on legs,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)
113,12,1895,uninjured,QLD,-10.566666666666666,142.21666666666667,island,Unknown,provoked,1,diving,[],bite to shoulder - dry suit,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
114,12,1895,fatal,NSW,-33.85,151.15,deep_coast,4.0,unprovoked,1,swimming,[],bit victim on body,['torso'],major lacerations,M,14.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
115,1,1896,fatal,NSW,-33.86666666666667,151.18333333333334,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on body,['torso'],major lacerations,M,11.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
116,11,1896,fatal,WA,-33.85,121.88333333333334,coastal,Unknown,unprovoked,1,swimming,[],bit victim on legs,['leg'],Unknown,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
117,1,1897,injured,NSW,-31.066666666666666,152.83333333333334,river,1.8,unprovoked,1,swimming,[],bit thigh,['thigh'],minor lacerations,M,12.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
118,12,1897,injured,QLD,-9.95,142.18333333333334,island,Unknown,unprovoked,1,swimming,[],Unknown,['torso'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
119,9,1898,injured,NSW,-32.71666666666667,152.11666666666667,deep_coast,Unknown,provoked,1,fishing,['catch'],bit foot,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
